"Gene","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell"
"CLP1",8.315830714,9.2234505,8.77395596,8.723352929,8.835513125,8.545450174,7.21673375,7.941859154
"CLPB",5.711178571,5.809327167,7.27570884,7.200333429,7.352410375,7.803001478,7.931665188,5.892196538
"CLPTM1",6.721456381,7.023850583,8.24152868,8.430392,7.751743625,7.462431261,7.830736875,7.127139692
"CLPTM1L",8.463669857,9.399526667,10.09057084,9.568435786,10.15058363,8.987106913,8.691628438,8.188402385
"CLPX",7.14590119,7.054493,7.61726592,6.247550429,7.850549667,7.845159565,5.72161075,7.335740846
"CLRN1",5.887871619,5.5214655,5.49135752,6.041936714,5.537920125,5.486146478,4.838004813,5.555918231
"CLSTN3",5.911679524,6.335077667,5.83308236,6.051945071,6.134753958,6.203346174,4.865331188,5.870296692
"CLTA",8.614485667,9.638558083,11.29831756,11.0293035,11.12696679,9.586843043,10.8866845,8.067283231
"CLTB",6.586863857,7.826528417,8.01965596,7.733879,7.548519833,7.820580522,8.7913995,7.109856538
"CLTC",10.60840048,11.10677342,12.83551596,12.75082507,12.82531788,10.94889426,10.24845713,9.931480846
"CLU",4.213363952,5.1110095,4.65100008,8.585126571,5.261524167,4.160892826,5.245693,4.548568308
"CLUAP1",6.091902762,4.917997167,4.8215584,4.390988,5.744445833,5.034919,4.821715625,6.298801462
"CLYBL",5.835073571,5.484678417,6.89096816,6.315871214,6.912912625,7.108045826,4.461480438,7.076893
"CMA1",4.162105048,4.030763667,4.01010484,4.184385071,4.249646875,3.982019174,5.105638188,3.952615308
"CMAS",5.221536095,6.40869025,6.8294906,6.801315429,7.235119583,7.332401696,6.964226,5.100379154
"CMBL",4.404672286,4.162379083,4.18156712,4.515618929,4.097542167,4.525552,5.281015063,4.394373538
"CMC1",7.745598143,12.03328817,8.62186816,8.189332429,9.291452167,8.780972,6.745881,8.162512538
"CMIP",5.702858333,7.537336917,7.07196184,7.362193643,6.96778475,4.8584,4.306616063,5.526439923
"CMPK1",10.99687695,11.11139925,11.03058136,9.122240857,11.05451979,10.10648313,8.702455688,10.94158877
"CMPK2",6.780932619,8.420564083,6.37551704,11.50938714,6.30208125,9.27777587,7.67642725,7.427512692
"CMTM1",3.846779476,3.831452083,4.17151616,4.436404143,4.252355458,4.252705913,5.71720275,4.066857
"CMTM2",4.579479762,3.882916583,3.42918432,3.813785143,3.632709542,3.764086957,3.34131,3.891904231
"CMTM3",4.220127619,4.315057583,4.58702052,5.307148643,4.346004833,4.80647913,4.758211813,4.435640846
"CMTM4",4.774919952,4.964207917,6.8633222,6.023171357,5.218069708,5.206914609,4.582480688,5.526575385
"CMTM5",6.394567714,5.811553,5.9276764,6.371218143,5.718349875,6.309111565,5.422227688,6.271774385
"CMTM6",9.17027481,10.84474975,11.21177704,11.70027186,11.99993658,9.284668348,8.070841563,9.311952308
"CMTM7",7.572726524,5.6856565,7.49390532,6.859452571,6.18257625,5.871916739,5.932228188,8.199341154
"CMTM8",7.431255857,4.826614,5.32376312,5.236303571,6.11778475,7.754221609,4.918449688,6.590017
"CNBP",9.115001952,8.24663775,7.377701,7.379519429,7.8877185,8.046277478,8.7314525,8.935960462
"CNDP1",4.717134143,4.300023667,3.8845498,4.370058643,3.804546125,4.019321783,3.281761563,4.107134615
"CNDP2",7.222721762,6.584263667,6.62592928,7.130369214,6.671266375,6.575535609,5.730808,6.993899385
"CNFN",4.045807,4.622898167,4.75226748,4.893048,4.357040875,4.586191043,5.7608015,4.416911923
"CNGB1",5.604529857,5.69055375,5.89375444,6.243521643,5.43768075,6.137347043,6.405310563,6.209349385
"CNIH3",3.167967238,3.449272583,5.81377276,6.5623555,7.817848583,3.708879783,3.722245375,3.519921231
"CNIH4",6.918874048,6.546333083,7.30218568,6.684036857,7.283264208,6.894154826,4.525555063,6.907011308
"CNKSR2",6.763963524,3.738675583,3.251326,3.419738929,3.421839125,5.915038391,4.17607825,7.093688308
"CNNM2",6.647156095,6.205258333,6.56957848,6.489082357,6.308273,6.536142652,5.554907563,6.567805385
"CNNM3",7.184210857,7.8848745,6.57184428,5.989432,6.025271292,6.540816565,5.720737125,7.143076462
"CNNM4",5.534765429,5.912803417,6.67578512,6.448372571,7.893093958,6.130802783,6.114047813,5.618875154
"CNOT1",4.784273714,5.620796333,6.04463936,6.026381857,6.082310458,5.533756739,7.488084125,4.978578077
"CNOT2",4.312181857,4.052781917,3.62130108,3.767582143,4.030285292,3.997136565,4.718303875,3.843691538
"CNOT3",5.310410429,5.680627917,6.740557,6.251042214,5.065875917,5.108103304,7.469296688,4.76175
"CNOT4",4.264563714,4.7326955,4.63522536,4.569178286,4.396660792,4.44634613,6.952882688,4.625082615
"CNOT6",8.424519143,8.77280675,8.40222816,6.725926071,8.282043958,8.519942087,6.899004875,8.820680385
"CNOT6L",9.575119143,9.525006083,7.71675832,5.816607429,6.345603667,7.75012413,7.137646438,9.296535231
"CNOT7",7.01046981,5.999492083,5.55734764,4.218613571,4.481355917,5.875279217,4.119157563,8.064653538
"CNOT8",8.635649571,9.228981583,8.69731264,7.902149714,8.775916542,8.267082391,6.572643875,8.278765231
"CNP",7.885622619,8.22147,8.91768512,8.755017643,8.98848425,9.180891739,7.43300275,8.047850308
"CNPY3",6.278773333,6.417392333,5.95390592,4.772972071,6.474301417,5.736007957,4.747621188,6.693241077
"CNPY4",6.991902857,7.129892833,6.62513604,6.420941071,6.914921375,7.28288713,5.031031313,7.748823385
"CNRIP1",4.17808719,5.9192375,7.8027262,5.026633,6.456389917,4.88431287,3.874130875,4.571689692
"CNTF",4.214882905,3.96318475,3.88348524,4.144437429,4.129973542,4.041497739,5.437245813,3.954694923
